BroodYear,Rec3Obs,BroodYearSB,RecPerSpawn
1980,407,55583,0.007315651
1981,373,55230,0.006746378
1982,130,49795,0.002607591
1983,115,59473,0.001925713
1984,1088,69416,0.015668652
1985,0,85587,1.1684E-06
1986,0,74508,1.3421E-06
1987,0,85712,1.167E-07
1988,722,110450,0.00653308
1989,77,108683,0.000708094
1990,152,83651,0.00181629
1991,0,67474,0.000001482
1992,0,66730,1.4986E-06
1993,173,34039,0.005094896
1994,224,18454,0.012118981
1995,66,14076,0.004723029
1996,0,14411,6.9391E-06
1997,0,22870,4.3725E-06
1998,0,18242,5.482E-07
1999,187,13526,0.013799247
2000,55,11142,0.004925787
2001,13,7969,0.001632559
2002,24,10704,0.002286157
2003,30,14014,0.002141817
2004,124,16842,0.007373794
2005,96,13385,0.007201914
2006,30,11556,0.002614619
2007,70,13640,0.005154721
2008,34,18364,0.001843062
2009,95,19470,0.004856016
2010,44,20507,0.002149104
2011,40,17639,0.002289875
