Area,Stock,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
SOUTH,SQUAXIN,,,298,2138,20,58,137,683,772,,,,,,,,,566,943,771,596,225,157,374,149,68,474,371,1597,3150,2201,828,436,755,557,1025,824,510,565,589,554,394,324,260.4
SOUTH,PURDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,125,500,711,135,260,83,32,0
SOUTH,WOLLOCHET BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,133,106,152,52,67,27,35,45,360,11,21,31,10,39,0,0
SOUTH,QM,,,,1357,1413,1860,1941,1930,1777,1778,909,1386,667,1181,924,750,898,681,580,518,1075,1412,2001,805,1402,947,1257,743,1320,416,930,727,756,987,441,491,843,143,96,108,157,44,55,0
Central,ELLIOT BAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,214,29,135,109.3
Central,PO-PM,,,887,447,1348,,1255,2133,891,1214,1651,1293,1415,1926,2538,1705,1739,1795,722,314,304,424,863,806,360,489,2006,1756,2007,878,1085,700,1958,2112,1589,1186,1768,350,123,217,184,90,92,0
HC,S HOOD,,,,492,444,,,,,177,,,,,,,,,357,144,,,,239,226,101,516,140,187,166,207,176,210,244,70,223,156,214,156,264,199,112,282,249.3
HC,QUILCENE,,,,279,232,14,,,,,,,,,68,,,,204,97,,,817,328,465,1152,2464,2426,2091,2585,916,2342,1125,2530,2372,2531,3064,2012,4443,2626,2072,3097,4097,7160.1
HC,PORT GAMBLE,,,,1142,2525,1984,1790,2309,1753,1463,2407,2685,2387,2050,2046,1390,2395,2969,2259,2270,1521,2857,3158,2058,1419,971,1664,2459,1779,1812,1064,1257,1372,774,826,208,1064,433,1464,404,273,170,345,179.5
SJDF,DISCO,,,,697,1488,1305,882,3220,3070,2356,2578,3144,1447,1566,1593,853,1225,855,925,727,737,375,261,747,199,0,307,159,137,148,207,252,33,1325,42,248,205,26,0,105,0,5,12,243.8
SJDF,SEQUIM,,,,47,94,10,,335,,,,31,18,,,,,,,,11,0,,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,0
SJDF,DUNG,,,,,,,,43,,,197,,,234,,,,,,,,,287,180,158,112,352,138,87,131,44,22,0,0,34,69,46,75,104,43,71,72,8,43.6
WHIDBEY,HOLMES,,,,126,135,,,78,,78,,,914,,,,693,380,,,,,,336,530,464,175,281,275,573,678,673,498,1297,572,686,1045,673,3003,678,585,459,456,493.9
WHIDBEY,SKAGIT,,,,478,227,,,453,,,,,,,1552,1340,,,,,,,891,736,893,209,905,646,2170,2215,2983,1245,1169,2826,1236,1342,1036,402,469,443,454,294,285,48.1
NORTH,PORT SUSAN,,,,,,,,,,1391,1398,1555,1321,934,1216,570,345,291,245,545,1693,365,363,110,828,2084,545,785,587,775,450,429,157,321,643,345,252,152,138,61,29,68,70,60.9
NORTH,KILISUT,,,279,495,,254,,477,324,,,,,,,,,364,613,,538,292,,380,307,311,802,107,612,774,448,184,170,54,24,0,0,0,0,0,0,5,0,0
NORTH,FIDALGO,,,,,,,,276,456,182,640,742,761,731,887,,,,1079,1399,1417,1207,1173,590,929,844,1005,737,944,865,569,339,231,323,159,156,15,103,119,89,100,221,80,5
NORTH,SAM/PORT,,,109,77,32,,333,1008,,310,159,160,78,79,,,58,,,262,198,459,194,636,509,643,555,196,470,496,299,351,218,412,348,409,320,649,387,430,693,778,559,1024.5
NORTH,SEMIAHMOO,,,772,321,634,,,,1008,1389,874,772,2325,1464,,1965,1701,1930,2061,1501,1902,1389,1245,1219,621,919,868,926,1098,1012,1087,629,870,1277,1124,662,990,909,1605,879,569,2828,5852,1797.9
NORTH,CHERRY PT,14998,13963,10337,11844,11097,10973,9957,9329,6219,5342,8063,5901,5760,5671,3108,4428,4003,4998,4624,4009,4894,6324,4105,3095,1574,1322,1266,808,1241,1330,1611,1734,2010,2216,2169,1352,1341,774,1301,1120,908,1003,524,515.6
SJI,INT.SJ,,,,10,18,,,,,,,,,,,,541,391,60,17,472,,,277,30,,197,128,219,158,72,67,41,285,33,60,0,24,0,5,0,5,38,
SJI,NWSJ,,,,157,29,,,,,,,,,,400,,,218,298,,,,,53,79,107,,90,62,131,13,0,0,0,0,0,0,0,0,0,,,,
