Year,HG,PRD,CC,SOG,WCVI,2W,27,Totals
1951,4213,27149,15390,66143,19597,na,na,132492
1952,2578,24047,10295,72376,13310,na,na,122606
1953,7555,28468,18237,111307,39571,na,na,205138
1954,12408,13535,13967,8211,20648,na,na,68769
1955,6437,14485,13564,69854,15112,na,na,119452
1956,6042,14533,6626,25667,24183,na,na,77051
1957,1592,27518,4607,24465,44114,na,na,102296
1958,815,9882,3549,16911,18986,na,na,50143
1959,8981,40961,3904,47864,12979,na,na,114689
1960,6599,16545,12615,55709,6015,na,na,97483
1961,8981,12059,4265,44326,10556,na,na,80187
1962,5730,23629,11948,35531,34470,na,na,111308
1963,7297,16981,6485,37381,11245,na,na,79389
1964,4104,26919,6464,35954,22761,na,na,96202
1965,1378,6055,2097,38390,11891,na,na,59811
1966,2824,7105,1863,7211,3722,na,na,22725
1967,710,3386,5434,9647,4813,na,na,23990
1968,833,5197,5790,9442,11029,na,na,32291
1969,2075,965,1837,14039,10465,na,na,29381
1970,5552,8814,8230,34163,26912,na,na,83671
1971,13291,8480,4156,38921,36206,na,na,101054
1972,9542,8774,3572,25139,41857,na,na,88884
1973,7960,10959,12434,16191,19481,na,na,67025
1974,14510,9244,8852,40571,25540,na,na,98717
1975,9686,10565,8037,70208,49149,na,na,147645
1976,15986,15199,13849,60511,64200,na,na,169745
1977,15717,10425,14613,78113,58679,na,na,177547
1978,16885,4734,7747,101784,45607,832,3595,181184
1979,12236,7600,5669,63973,66397,494,6909,163278
1980,30455,11001,12957,85679,62308,2114,14419,218933
1981,18823,12939,15811,54754,52014,1811,1828,157980
1982,22159,16108,16239,101025,31926,4781,4137,196375
1983,19470,23575,18214,66201,16771,4869,2501,151601
1984,22120,25702,13788,26054,23872,2522,3004,117062
1985,17232,39606,8483,25024,30010,1719,1382,123456
1986,5679,25580,20856,41575,39514,684,3495,137383
1987,10750,38673,12431,41797,16858,989,952,122450
1988,13631,33957,26457,24976,46242,3380,1612,150255
1989,23638,14876,21098,66052,47718,2719,4612,180713
1990,25404,21177,29106,67150,46464,10946,5212,205459
1991,16204,24305,18429,45687,29996,2985,3213,140819
1992,11068,38585,42594,82710,42366,3909,2779,224011
1993,6462,23328,31717,90197,34408,89,5576,191777
1994,12807,14683,28790,67138,25249,248,5229,154144
1995,4737,16879,21343,64898,27128,na,2484,137469
1996,7423,22664,20344,71325,33121,na,1332,156209
1997,10778,23565,27016,58181,46362,na,1963,167865
1998,20681,17997,29738,74616,41001,469,2156,186658
1999,9472,27742,30723,85094,19734,na,658,173423
2000,5359,17943,30810,72688,12799,288,1301,141188
2001,13860,35070,24334,99703,13414,35,221,186637
2002,2286,20503,20343,117862,21242,149,917,183302
2003,7398,34561,24504,152150,31375,1462,963,252413
2004,5263,31104,28245,122839,16432,2996,1223,208102
2005,3614,28172,23935,102755,9663,584,1918,170641
2006,4097,10255,9084,50258,2875,1828,2044,80441
2007,9436,15669,9264,38524,2246,1469,2248,78856
2008,4213,12728,4255,34507,2739,2000,796,61238
2009,9794,11961,10771,53652,10607,2871,1201,100857
2010,6845,28590,8654,51039,2464,2725,846,101163
2011,7554,21097,10533,85001,9644,2641,547,137017
2012,11984,22716,7592,52636,5407,2180,744,103259
2013,16025,25755,20359,83693,12342,2076,914,161164
2014,10566,17125,13309,12468,13901,1368,1307,70044
2015,13102,17408,32146,104481,11323,na,2169,180629
